"Gender","Age","NumEnq","ExistCust","CCother","OutBal","Prov","AppMethod","Income","RecDef","PD_groups"
2e-04,9e-04,0.8061,0.2539,3e-04,Inf,0.0013,8e-04,9e-04,7e-04,0.1032
6e-04,8e-04,0.7765,0.2578,3e-04,0.0012,8e-04,4e-04,8e-04,6e-04,0.0969
0,7e-04,0.8035,0.2663,4e-04,Inf,0.0014,0.001,0.001,8e-04,0.0854
1e-04,0.0011,0.7962,0.2492,2e-04,Inf,7e-04,3e-04,8e-04,2e-04,0.0925
0,9e-04,0.8184,0.2627,3e-04,5e-04,8e-04,3e-04,5e-04,8e-04,0.0987
0,0.001,0.8,0.2561,2e-04,0.0012,0.0012,1e-04,7e-04,6e-04,0.1
1e-04,2e-04,0.7878,0.2559,2e-04,5e-04,9e-04,0,4e-04,9e-04,0.088
2e-04,9e-04,0.7618,0.248,5e-04,0.0013,4e-04,4e-04,8e-04,3e-04,0.0868
0,8e-04,0.7965,0.2439,4e-04,0.0019,9e-04,9e-04,4e-04,6e-04,0.1013
2e-04,7e-04,0.8348,0.2466,7e-04,7e-04,0.0014,6e-04,4e-04,0.001,0.0948
4e-04,0.0013,0.8248,0.2584,8e-04,Inf,0.0012,9e-04,0.0017,9e-04,0.1001
0,0.0019,0.7962,0.2524,8e-04,0.0024,0.001,6e-04,2e-04,3e-04,0.0976
0,8e-04,0.8253,0.2671,1e-04,Inf,4e-04,1e-04,3e-04,4e-04,0.0982
0,8e-04,0.8023,0.2646,9e-04,Inf,0.0012,3e-04,5e-04,2e-04,0.0968
0,0.001,0.8112,0.2688,2e-04,Inf,7e-04,2e-04,2e-04,1e-04,0.0968
0,4e-04,0.8032,0.2539,3e-04,0.0022,9e-04,5e-04,0.0012,3e-04,0.086
3e-04,5e-04,0.8277,0.2707,0.001,2e-04,0.0016,1e-04,4e-04,6e-04,0.0939
1e-04,8e-04,0.7936,0.2555,6e-04,5e-04,0.0024,5e-04,4e-04,4e-04,0.0908
0,0.001,0.8077,0.2565,2e-04,8e-04,0.0011,2e-04,9e-04,9e-04,0.0965
1e-04,0.0011,0.8512,0.2537,4e-04,Inf,0.0016,2e-04,3e-04,4e-04,0.1006
0,3e-04,0.8276,0.273,4e-04,Inf,7e-04,1e-04,0.0019,2e-04,0.0981
0,0.0011,0.7791,0.2532,3e-04,8e-04,0.0024,0.0015,0.0012,3e-04,0.0976
1e-04,9e-04,0.7823,0.2415,4e-04,9e-04,7e-04,0,0.001,2e-04,0.0819
0,6e-04,0.8071,0.2621,7e-04,Inf,9e-04,4e-04,9e-04,4e-04,0.1033
2e-04,0.002,0.828,0.266,0.0014,0.0014,0.0021,0.0018,0.001,0.0012,0.1051
1e-04,7e-04,0.7985,0.2504,4e-04,7e-04,0.0024,0.001,0.0012,7e-04,0.0939
0,8e-04,0.79,0.2409,3e-04,0.0013,0.0013,5e-04,6e-04,6e-04,0.0858
0,0.0014,0.7751,0.239,3e-04,Inf,0.0011,0.001,0.001,3e-04,0.0894
0,5e-04,0.7945,0.2484,2e-04,0.001,0.0012,4e-04,7e-04,6e-04,0.0892
0,8e-04,0.8002,0.2563,2e-04,0.0011,7e-04,2e-04,2e-04,1e-04,0.0909
1e-04,0.001,0.7717,0.2336,3e-04,7e-04,9e-04,6e-04,6e-04,3e-04,0.0891
2e-04,0.0011,0.7856,0.2565,7e-04,0.0015,0.0016,9e-04,3e-04,9e-04,0.099
2e-04,0.0016,0.7905,0.2571,2e-04,9e-04,0.0011,7e-04,7e-04,7e-04,0.0882
1e-04,0.0012,0.8048,0.2447,3e-04,0.0011,9e-04,5e-04,0.0011,4e-04,0.0877
1e-04,7e-04,0.8072,0.2372,4e-04,4e-04,0.0014,4e-04,0.0012,2e-04,0.0905
0,0.0014,0.7713,0.2604,9e-04,0.001,0.0014,0.0012,0.0021,2e-04,0.0948
0,7e-04,0.7973,0.2635,5e-04,3e-04,0.0014,7e-04,3e-04,1e-04,0.0994
0,0.0014,0.8492,0.2633,5e-04,8e-04,0.0015,9e-04,9e-04,2e-04,0.0962
1e-04,7e-04,0.8379,0.2611,1e-04,0.0018,6e-04,2e-04,3e-04,3e-04,0.1049
3e-04,9e-04,0.7795,0.2532,4e-04,5e-04,0.0012,0.001,9e-04,1e-04,0.0926
3e-04,2e-04,0.8119,0.2611,0,8e-04,7e-04,1e-04,2e-04,4e-04,0.0948
